亚东	Yadong
察隅	Chayu
波密	Bomi
八宿	Basu
洛隆	Luolong
左贡	Zuogong
察雅	Chaya
贡觉	Gongjue
德钦	Deqin
得荣	Derong
乡城	Xiangcheng
稻城	Daocheng
芒康	Mangkang
巴塘	Batang
理塘	Litang
雅江	Yajiang
类乌齐	Leiwuqi
囊谦	Nangqian
昌都	Changdu
江达	Jiangda
玉树	Yushu
石渠	Shiqu
称多	Chenduo
白玉	Baiyu
德格	Dege
新龙	Xinlong
甘孜	Ganzi
道孚	Daofu
炉霍	Luhuo
色达	Seda
壤塘	Rangtang
班玛	Banma
江城	Jiangcheng
绿春	Lvchun
墨江	Mojiang
元江	Yuanjiang
石屏	Shiping
河口	Hekou
屏边	Pingbian
元阳	Yuanyang
个旧	Gejiu
红河	Honghe
建水	Jianshui
开远	Kaiyuan
蒙自	Mengzi
新平	Xinping
峨山	Eshan
玉溪	Yuxi
双柏	Shuangbai
楚雄	Chuxiong
南华	Nanhua
易门	Yimen
晋宁	Jinning
安宁	Anning
禄丰	Lufeng
太华山	Taihuashan
富民	Fumin
通海	Tonghai
华宁	Huaning
江川	Jiangchuan
弥勒	Mile
泸西	Luxi
澄江	Chengjiang
呈贡	Chenggong
石林	Shilin
宜良	Yiliang
昆明	Kunming
师宗	Shizong
陆良	Luliang
马关	Maguan
麻栗坡	Malipo
文山	Wenshan
西畴	Xichou
砚山	Yanshan
靖西	Jingxi
那坡	Napo
富宁	Funing
德保	Debao
百色	Baise
丘北	Qiubei
广南	Guangnan
西林	Xilin
罗平	Luoping
隆林	Longlin
兴义	Xingyi
田林	Tianlin
凌云	Lingyun
安龙	Anlong
册亨	Ceheng
望谟	Wangmo
乐业	Leye
牟定	Mouding
大姚	Dayao
元谋	Yuanmou
武定	Wuding
禄劝	Luquan
永仁	Yongren
华坪	Huaping
仁和	Renhe
攀枝花	Panzhihua
盐边	Yanbian
会理	Huili
会东	Huidong
嵩明	Songming
寻甸	Xundian
马龙	Malong
曲靖	Qujing
沾益	Zhanyi
东川	Dongchuan
会泽	Huize
米易	Miyi
德昌	Dechang
普格	Puge
盐源	Yanyuan
木里	Muli
凉山	Liangshan
西昌	Xichang
宁南	Ningnan
巧家	Qiaojia
鲁甸	Ludian
昭通	Zhaotong
布拖	Butuo
金阳	Jinyang
昭觉	Zhaojue
大关	Daguan
彝良	Yiliang
富源	Fuyuan
盘县	Panxian
兴仁	Xingren
普安	Puan
晴隆	Qinglong
宣威	Xuanwei
水城	Shuicheng
贞丰	Zhenfeng
关岭	Guanling
紫云	Ziyun
罗甸	Luodian
镇宁	Zhenning
六枝	Liuzhi
普定	Puding
安顺	Anshun
织金	Zhijin
长顺	Changshun
惠水	Huishui
平坝	Pingba
清镇	Qingzhen
花溪	Huaxi
小河	Xiaohe
贵阳	Guiyang
白云	Baiyun
南明	Nanming
云岩	Yunyan
乌当	Wudang
威宁	Weining
赫章	Hezhang
纳雍	Nayong
毕节	Bijie
盐津	Yanjin
镇雄	Zhenxiong
威信	Weixin
黔西	Qianxi
大方	Dafang
修文	Xiuwen
息烽	Xifeng
古蔺	Gulin
金沙	Jinsha
遵义县	Zunyixian
仁怀	Renhuai
大新	Daxin
天等	Tiandeng
扶绥	Fusui
隆安	Longan
武鸣	Wuming
田阳	Tianyang
田东	Tiandong
平果	Pingguo
大化	Dahua
马山	Mashan
南宁	Nanning
邕宁	Yongning
横县	Hengxian
贵港	Guigang
上林	Shanglin
宾阳	Binyang
合山	Heshan
来宾	Laibin
武宣	Wuxuan
巴马	Bama
凤山	Fengshan
东兰	Donglan
都安	Duan
天峨	Tiane
南丹	Nandan
河池	Hechi
环江	Huanjiang
忻城	Xincheng
宜州	Yizhou
象州	Xiangzhou
柳江	Liujiang
柳州	Liuzhou
罗城	Luocheng
柳城	Liucheng
融水	Rongshui
融安	Rongan
兴业	Xingye
玉林	Yulin
北流	Beiliu
容县	Rongxian
岑溪	Cenxi
桂平	Guiping
平南	Pingnan
藤县	Tengxian
罗定	Luoding
德庆	Deqing
新兴	Xinxing
云浮	Yunfu
云安	Yunan
高要	Gaoyao
肇庆	Zhaoqing
苍梧	Cangwu
梧州	Wuzhou
郁南	Yunan
封开	Fengkai
广宁	Guangning
金秀	Jinxiu
鹿寨	Luzhai
荔浦	Lipu
蒙山	Mengshan
昭平	Zhaoping
永福	Yongfu
临桂	Lingui
桂林	Guilin
阳朔	Yangshuo
平乐	Pingle
恭城	Gongcheng
钟山	Zhongshan
贺州	Hezhou
怀集	Huaiji
连山	Lianshan
富川	Fuchuan
江永	Jiangyong
江华	Jianghua
连南	Liannan
连州	Lianzhou
平塘	Pingtang
独山	Dushan
荔波	Libo
三都	Sandu
都匀	Duyun
龙里	Longli
贵定	Guiding
福泉	Fuquan
丹寨	Danzhai
麻江	Majiang
雷山	Leishan
凯里	Kaili
榕江	Rongjiang
从江	Congjiang
三江	Sanjiang
台江	Taijiang
黎平	Liping
锦屏	Jinping
靖州	Jingzhou
开阳	Kaiyang
瓮安	Wengan
黄平	Huangping
施秉	Shibing
余庆	Yuqing
红花岗	Honghuagang
遵义	Zunyi
汇川	Huichuan
湄潭	Meitan
绥阳	Suiyang
石阡	Shiqian
凤冈	Fenggang
思南	Sinan
剑河	Jianhe
镇远	Zhenyuan
三穗	Sansui
岑巩	Cengong
玉屏	Yuping
天柱	Tianzhu
新晃	Xinhuang
江口	Jiangkou
印江	Yinjiang
万山	Wanshan
铜仁	Tongren
芷江	Zhijiang
凤凰	Fenghuang
灵川	Lingchuan
龙胜	Longsheng
兴安	Xingan
全州	Quanzhou
通道	Tongdao
城步	Chengbu
绥宁	Suining
资源	Ziyuan
新宁	Xinning
灌阳	Guanyang
道县	Daoxian
双牌	Shuangpai
宁远	Ningyuan
蓝山	Lanshan
嘉禾	Jiahe
新田	Xintian
东安	Dongan
冷水滩	Lengshuitan
永州	Yongzhou
祁阳	Qiyang
常宁	Changning
会同	Huitong
洪江	Hongjiang
中方	Zhongfang
武冈	Wugang
洞口	Dongkou
隆回	Longhui
怀化	Huaihua
麻阳	Mayang
辰溪	Chenxi
溆浦	Xupu
邵阳县	Shaoyangxian
邵阳	Shaoyang
新邵	Xinshao
邵东	Shaodong
祁东	Qidong
衡阳县	Hengyangxian
冷水江	Lengshuijiang
新化	Xinhua
涟源	Lianyuan
娄底	Loudi
双峰	Shuangfeng
喜德	Xide
冕宁	Mianning
越西	Yuexi
九龙	Jiulong
石棉	Shimian
汉源	Hanyuan
美姑	Meigu
雷波	Leibo
永善	Yongshan
绥江	Suijiang
甘洛	Ganluo
峨边	Ebian
马边	Mabian
沐川	Muchuan
峨眉	Emei
犍为	Qianwei
康定	Kangding
泸定	Luding
丹巴	Danba
荥经	Yingjing
雅安	Yaan
天全	Tianquan
芦山	Lushan
名山	Mingshan
峨眉山	Emeishan
夹江	Jiajiang
乐山	Leshan
青神	Qingshen
洪雅	Hongya
丹棱	Danleng
蒲江	Pujiang
眉山	Meishan
彭山	Pengshan
宝兴	Baoxing
邛崃	Qionglai
大邑	Dayi
新津	Xinjin
双流	Shuangliu
崇州	Chongzhou
温江	Wenjiang
郫县	Pixian
筠连	Junlian
高县	Gaoxian
珙县	Gongxian
水富	Shuifu
宜宾县	Yibinxian
宜宾	Yibin
兴文	Xingwen
叙永	Xuyong
长宁	Changning
江安	Jiangan
纳溪	Naxi
屏山	Pingshan
荣县	Rongxian
威远	Weiyuan
南溪	Nanxi
泸州	Luzhou
泸县	Luxian
自贡	Zigong
富顺	Fushun
赤水	Chishui
合江	Hejiang
习水	Xishui
桐梓	Tongzi
荣昌	Rongchang
江津	Jiangjin
綦江	Qijiang
合川	Hechuan
巴南	Banan
井研	Jingyan
仁寿	Renshou
资阳	Ziyang
内江	Neijiang
东兴	Dongxing
资中	Zizhong
隆昌	Longchang
安岳	Anyue
龙泉驿	Longquanyi
简阳	Jianyang
成都	Chengdu
新都	Xindu
青白江区	Qibaijiang
金堂	Jintang
乐至	Lezhi
射洪	Shehong
大足	Dazu
永川	Yongchuan
铜梁	Tongliang
潼南	Tongnan
璧山	Bishan
北碚	Beibei
重庆	Chongqing
渝北	Yubei
遂宁	Suining
蓬溪	Pengxi
南充	Nanchong
武胜	Wusheng
岳池	Yuechi
华蓥	Huaying
广安	Guangan
小金	Xiaojin
金川	Jinchuan
马尔康	Maerkang
理县	Lixian
都江堰	Dujiangyan
彭州	Pengzhou
汶川	Wenchuan
黑水	Heishui
茂县	Maoxian
阿坝	Aba
红原	Hongyuan
久治	Jiuzhi
松潘	Songfan
若尔盖	Nuoergai
广汉	Guanghan
什邡	Shifang
德阳	Deyang
中江	Zhongjiang
绵竹	Mianzhu
罗江	Luojiang
安县	Anxian
绵阳	Mianyang
三台	Santai
盐亭	Yanting
梓潼	Zitong
江油	Jiangyou
北川	Beichuan
西充	Xichong
南部	Nanbu
阆中	Langzhong
蓬安	Pengan
仪陇	Yilong
营山	Yingshan
苍溪	Cangxi
剑阁	Jiange
巴中	Bazhong
旺苍	Wangcang
平武	Pingwu
文县	Wenxian
青川	Qingchuan
九寨沟	Jiuzhaigou
武都	Wudu
广元	Guangyuan
南江	Nanjiang
宁强	Ningqiang
康县	Kangxian
略阳	Lueyang
成县	Chengxian
勉县	Mianxian
正安	Zhengan
德江	Dejiang
务川	Wuchuan
万盛	Wansheng
南川	Nanchuan
道真	Daozhen
武隆	Wulong
彭水	Pengshui
秀山	Xiushan
沿河	Yanhe
松桃	Songtao
花垣	Huayuan
保靖	Baojing
酉阳	Youyang
黔江	Qianjiang
来凤	Laifeng
龙山	Longshan
长寿	Changshou
涪陵	Fuling
丰都	Fengdu
石柱	Shizhu
邻水	Linshui
垫江	Dianjiang
大竹	Dazhu
渠县	Quxian
忠县	Zhongxian
梁平	Liangping
咸丰	Xianfeng
宣恩	Xuanen
利川	Lichuan
万州	Wanzhou
恩施	Enshi
吉首	Jishou
泸溪	Luxi
沅陵	Yuanling
古丈	Guzhang
永顺	Yongshun
桑植	Sangzhi
张家界	Zhangjiajie
武陵源	Wulingyuan
安化	Anhua
桃江	Taojiang
益阳	Yiyang
赫山区	Heshanqu
桃源	Taoyuan
常德	Changde
慈利	Cili
临澧	Linli
汉寿	Hanshou
沅江	Yuanjiang
安乡	Anxiang
南县	Nanxian
鹤峰	Hefeng
五峰	Wufeng
建始	Jianshi
秭归	Zigui
三峡	Sanxia
石门	Shimen
澧县	Lixian
松滋	Songzi
津市	Jinshi
石首	Shishou
江陵	Jiangling
公安	Gongan
长阳	Changyang
宜都	Yidu
枝江	Zhijiang
宜昌	Yichang
夷陵	Yiling
当阳	Dangyang
沙市	Shashi
荆州	Jingzhou
达县	Daxian
通川	Tongchuan
达州	Dazhou
平昌	Pingchang
开江	Kaijiang
宣汉	Xuanhan
通江	Tongjiang
万源	Wanyuan
开县	Kaixian
云阳	Yunyang
奉节	Fengjie
巫溪	Wuxi
城口	Chengkou
岚皋	Langao
镇坪	Zhenping
南郑	Nanzheng
镇巴	Zhenba
西乡	Xixiang
汉中	Hanzhong
城固	Chenggu
洋县	Yangxian
留坝	Liuba
石泉	Shiquan
佛坪	Fuoping
紫阳	Ziyang
汉阴	Hanyin
安康	Ankang
平利	Pingli
旬阳	Xunyang
宁陕	Ningshan
镇安	Zhenan
柞水	Zhashui
巫山	Wushan
巴东	Badong
神农架	Shennongjia
兴山	Xingshan
竹溪	Zhuxi
竹山	Zhushan
房县	Fangxian
远安	Yuanan
掇刀	Duodao
荆门	Jingmen
保康	Baokang
谷城	Gucheng
南漳	Nanzhang
宜城	Yicheng
襄阳	Xiangyang
襄州	Xiangzhou
白河	Baihe
茅箭	Maojian
十堰	Shiyan
张湾	Zhangwan
郧西	Yunxi
郧县	Yunxian
山阳	Shanyang
丹凤	Danfeng
商南	Shangnan
老河口	Laohekou
丹江口	Danjiangkou
邓州	Dengzhou
新野	Xinye
镇平	Zhenping
淅川	Xichuan
西峡	Xixia
内乡	Neixiang
南召	Nanzhao
治多	Zhiduo
格尔木	Geermu
茫崖	Mangai
大柴旦	Dachaidan
冷湖	Lenghu
曲麻莱	Qumacai
多县	Duoxian
玛多	Madu
都兰	Dulan
达日	Dari
甘德	Gande
玛沁	Maqin
果洛	Guoluo
兴海	Xinghai
同德	Tongde
贵南	Guinan
共和	Gonghe
海南	Hainan
海西	Haixi
德令哈	Delingha
乌兰	Wulan
天峻	Tianjun
海晏	Haiyan
海北	Haibei
刚察	Gangcha
肃南	Sunan
祁连	Qilian
民乐	Minle
张掖	Zhangye
临泽	Linze
山丹	Shandan
阿克塞	Akesai
肃北	Subei
敦煌	Dunhuang
鄯善	Shanshan
木垒	Mulei
哈密	Hami
伊吾	Yiwu
巴里坤	Balikun
嘉峪关	Jiayuguan
玉门	Yumen
瓜州	Guazhou
酒泉	Jiuquan
金塔	Jinta
高台	Gaotai
额济纳	Ejina
玛曲	Maqu
河南	Henan
泽库	Zeku
碌曲	Luqu
迭部	Diebu
岷县	Minxian
临潭	Lintan
合作	Hezuo
甘南	Gannan
卓尼	Zhuoni
夏河	Xiahe
同仁	Tongren
黄南	Huangnan
循化	Xunhua
贵德	Guide
湟中	Huangzhong
尖扎	Jianzha
化隆	Hualong
平安	Pingan
海东	Haidong
乐都	Ledu
和政	Hezheng
积石山	Jishishan
临夏	Linxia
广河	Guanghe
康乐	Kangle
临洮	Lintao
东乡	Dongxiang
永靖	Yongjing
民和	Minhe
兰州	Lanzhou
皋兰	Gaolan
舟曲	Zhouqu
宕昌	Dangchang
西和	Xihe
礼县	Lixian
渭源	Weiyuan
漳县	Zhangxian
陇西	Longxi
武山	Wushan
甘谷	Gangu
徽县	Huixian
两当	Liangdang
凤县	Fengxian
天水	Tianshui
麦积	Maiji
清水	Qingshui
秦安	Qinan
张家川	Zhangjiachuan
陇县	Longxian
榆中	Yuzhong
安定	Anding
定西	Dingxi
通渭	Tongwei
会宁	Huining
白银	Baiyin
庄浪	Zhuanglang
静宁	Jingning
隆德	Longde
泾源	Jingyuan
华亭	Huating
崆峒	Kongtong
平凉	Pingliang
彭阳	Pengyang
西吉	Xiji
固原	Guyuan
湟源	Huangyuan
西宁	Xining
互助	Huzhu
大通	Datong
门源	Menyuan
武威	Wuwei
永登	Yongdeng
天祝	Tianzhu
古浪	Gulang
永昌	Yongchang
金昌	Jinchang
阿右旗	Ayouqi
民勤	Minqin
中泉子	Zhongquanzi
靖远	Jingyuan
景泰	Jingtai
平川	Pingchuan
中卫	Zhongwei
孪井滩	Luanjingtan
海原	Haiyuan
同心	Tongxin
中宁	Zhongning
头道湖	Toudaohu
锡林高勒	Xilingaole
青铜峡	Qingtongxia
吴忠	Wuzhong
灵武	Lingwu
永宁	Yongning
银川	Yinchuan
贺兰	Helan
阿左旗	Azuoqi
石嘴山	Shizuishan
陶乐	Taole
平罗	Pingluo
惠农	Huinong
太白	Taibai
宝鸡	Baoji
陈仓	Chencang
眉县	Meixian
岐山	Qishan
扶风	Fufeng
周至	Zhouzhi
武功	Wugong
杨凌	Yangling
千阳	Qianyang
凤翔	Fengxiang
麟游	Linyou
乾县	Qianxian
永寿	Yongshou
灵台	Lingtai
彬县	Binxian
户县	Huxian
兴平	Xingping
长安	Changan
西安	Xian
咸阳	Xianyang
蓝田	Lantian
临潼	Lintong
礼泉	Liquan
淳化	Chunhua
泾阳	Jingyang
三原	Sanyuan
旬邑	Xunyi
铜川	Tongchuan
耀县	Yaoxian
耀州	Yaozhou
高陵	Gaoling
富平	Fuping
渭南	Weinan
蒲城	Pucheng
崇信	Chongxin
泾川	Jingchuan
镇原	Zhenyuan
长武	Changwu
宁县	Ningxian
西峰	Xifeng
庆阳	Qingyang
合水	Heshui
庆城	Qingcheng
华池	Huachi
正宁	Zhengning
宜君	Yijun
白水	Baishui
黄陵	Huangling
洛川	Luochuan
富县	Fuxian
甘泉	Ganquan
商州	Shangzhou
商洛	Shangluo
洛南	Luonan
卢氏	Lushi
华县	Huaxian
大荔	Dali
华阴	Huayin
潼关	Tongguan
芮城	Ruicheng
灵宝	Lingbao
陕县	Shanxian
永济	Yongji
临猗	Linyi
运城	Yuncheng
栾川	Luanchuan
洛宁	Luoning
嵩县	Songxian
汝阳	Ruyang
伊川	Yichuan
三门峡	Sanmenxia
渑池	Mianchi
平陆	Pinglu
夏县	Xiaxian
义马	Yima
宜阳	Yiyang
洛阳	Luoyang
新安	Xinan
孟津	Mengjin
澄城	Chengcheng
合阳	Heyang
黄龙	Huanglong
韩城	Hancheng
万荣	Wanrong
河津	Hejin
稷山	Jishan
宜川	Yichuan
吉县	Jixian
乡宁	Xiangning
大宁	Daning
蒲县	Puxian
闻喜	Wenxi
垣曲	Yuanqu
绛县	Jiangxian
新绛	Xinjiang
侯马	Houma
曲沃	Quwo
翼城	Yicheng
阳城	Yangcheng
沁水	Qinshui
襄汾	Xiangfen
临汾	Linfen
洪洞	Hongtong
浮山	Fushan
安泽	Anze
古县	Guxian
沁源	Qinyuan
环县	Huanxian
吴起	Wuqi
盐池	Yanchi
定边	Dingbian
志丹	Zhidan
安塞	Ansai
延安	Yanan
子长	Zichang
靖边	Jingbian
河南	Henan
横山	Hengshan
鄂前旗	Eqianqi
鄂托克	Etuoke
乌审旗	Wushenqi
乌审召	Wushenzhao
延长	Yanchang
延川	Yanchuan
清涧	Qingjian
永和	Yonghe
隰县	Xixian
石楼	Shilou
绥德	Suide
子洲	Zizhou
米脂	Mizhi
吴堡	Wubu
柳林	Liulin
临县	Linxian
汾西	Fenxi
霍州	Huozhou
灵石	Lingshi
交口	Jiaokou
孝义	Xiaoyi
介休	Jiexiu
平遥	Pingyao
中阳	Zhongyang
吕梁	Lvliang
离石	Lishi
汾阳	Fenyang
方山	Fangshan
文水	Wenshui
祁县	Qixian
交城	Jiaocheng
清徐	Qingxu
古交	Gujiao
尖草坪区	Jiancaopingqu
榆林	Yulin
榆阳	Yuyang
佳县	Jiaxian
保德	Baode
伊金霍洛	Yijinhuoluo
神木	Shenmu
府谷	Fugu
娄烦	Loufan
岚县	Lanxian
兴县	Xingxian
静乐	Jingle
岢岚	Kelan
五寨	Wuzhai
宁武	Ningwu
神池	Shenchi
朔州	Shuozhou
雅布赖	Yabulai
拐子湖	Guaizihu
诺尔公	Nuoergong
吉兰太	Jilantai
乌斯泰	Wusitai
乌海	Wuhai
那仁宝力格	Narenbaolige
海力素	Hailisu
伊克乌素	Yikewusu
磴口	Dengkou
临河	Linhe
杭锦旗	Hangjinqi
乌前旗	Wuqianqi
杭锦后旗	Hangjinhouqi
乌后旗	Wuhouqi
五原	Wuyuan
大佘太	Dashetai
乌中旗	Wuzhongqi
鄂尔多斯	Eerduosi
东胜	Dongsheng
达拉特	Dalate
包头	Baotou
土右旗	Tuyouqi
河曲	Hequ
准格尔	Zhungeer
偏关	Pianguan
清水河	Qingshuihe
平鲁	Pinglu
右玉	Youyu
托县	Tuoxian
土左旗	Tuzuoqi
和林	Helin
凉城	Liangcheng
固阳	Guyang
白云鄂博	Baiyunebo
达茂旗	Damaoqi
呼和浩特	Huhehaote
武川	Wuchuan
希拉穆仁	Xilamuren
呼市郊区	Hushijiaoqu
四子王旗	Siziwangqi
满都拉	Mandula
二连浩特	Erlianhaote
江门	Jiangmen
江海	Jianghai
鹤山	Heshan
蓬江	Pengjiang
高明	Gaoming
佛山	Foshan
三水	Sanshui
南海	Nanhai
中山	Zhongshan
顺德	Shunde
番禺	Panyu
广州	Guangzhou
东莞	Dongguan
四会	Sihui
清新	Qingxin
清远	Qingyuan
花都	Huadu
增城	Zengcheng
从化	Conghua
佛冈	Fogang
深圳	Shenzhen
惠阳	Huiyang
博罗	Boluo
惠州	Huizhou
惠东	Huidong
龙门	Longmen
河源	Heyuan
东源	Dongyuan
紫金	Zijin
阳山	Yangshan
英德	Yingde
临武	Linwu
乳源	Ruyuan
曲江	Qujiang
武江	Wujiang
浈江	Zhenjiang
韶关	Shaoguan
乐昌	Lechang
仁化	Renhua
新丰	Xinfeng
翁源	Wengyuan
连平	Lianping
龙川	Longchuan
和平	Heping
始兴	Shixing
全南	Quannan
南雄	Nanxiong
龙南	Longnan
定南	Dingnan
汕尾	Shanwei
海丰	Haifeng
陆丰	Lufeng
惠来	Huilai
陆河	Luhe
揭西	Jiexi
普宁	Puning
潮阳	Chaoyang
汕头	Shantou
金平	Jinping
揭阳	Jieyang
潮安	Chaoan
丰顺	Fengshun
揭东	Jiedong
潮州	Chaozhou
澄海	Chenghai
南澳	Nanao
饶平	Raoping
诏安	Zhaoan
东山	Dongshan
五华	Wuhua
兴宁	Xingning
平远	Pingyuan
梅县	Meixian
梅州	Meizhou
大埔	Dabu
寻乌	Xunwu
安远	Anyuan
蕉岭	Jiaoling
武平	Wuping
上杭	Shanghang
云霄	Yunxiao
平和	Pinghe
南靖	Nanjing
漳浦	Zhangpu
漳州	Zhangzhou
龙海	Longhai
厦门	Xiamen
永定	Yongding
龙岩	Longyan
漳平	Zhangping
长泰	Changtai
华安	Huaan
宜章	Yizhang
桂阳	Guiyang
郴州	Chenzhou
苏仙	Suxian
汝城	Rucheng
资兴	Zixing
永兴	Yongxing
耒阳	Leiyang
安仁	Anren
炎陵	Yanling
大余	Dayu
崇义	Chongyi
上犹	Shangyou
信丰	Xinfeng
南康	Nankang
赣州	Ganzhou
赣县	Ganxian
桂东	Guidong
遂川	Suichuan
宁冈	Ninggang
万安	Wanan
衡南	Hengnan
衡阳	Hengyang
南岳	Nanyue
衡东	Hengdong
衡山	Hengshan
茶陵	Chaling
攸县	Youxian
湘乡	Xiangxiang
韶山	Shaoshan
湘潭	Xiangtan
株洲	Zhuzhou
醴陵	Liling
湘东	Xiangdong
萍乡	Pingxiang
安源	Anyuan
上栗	Shangli
永新	Yongxin
井冈山	Jinggangshan
莲花	Lianhua
泰和	Taihe
吉安县	Jianxian
安福	Anfu
吉安	Jian
吉水	Jishui
芦溪	Luxi
宜春	Yichun
万载	Wanzai
分宜	Fenyi
新余	Xinyu
会昌	Huichang
于都	Yudu
